time,difficulty,peoples,detail,name
2课时							4分钟,初级,1961,"
			本课程以色情识别技术为例，介绍图像审核技术概念以及优势，并展示了多种真实工作场景中的使用案例。
		",百度图像审核（色情识别）技术
3课时							19分钟,初级,1621,"
			本课程中将通过实际演示讲述 AWS CloudFormation 如何快速创建 AWS 资源以及 AWS Cloudformation 的组成。
		",AWS 云中的自动化部署
3课时							35分钟,初级,1366,"
			本课程将通过实际演示讲解  IAM 的介绍，以及如何创建一个 IAM 用户和用户组，使你能够安全地控制用户对 Amazon AWS 服务和资源的访问权限。
		",AWS 云中的访问控制
6课时							44分钟,初级,3496,"
			本课程将手把手教你如何从”零“开始，开启 AWS 上的云计算之旅。内容将涵盖对 AWS 的简单介绍和 AWS 核心服务（例如 Amazon S3, Amazon EC2）的使用,并分步演示如何利用这些服务在云中搭建虚拟机、备份和恢复数据等等。

		",AWS 入门—教你快速开始使用 AWS
2课时							42分钟,初级,2003,"
			本课程向大家讲述数据库迁移到云的方法，数据库平台重构的可用选项，云上数据库迁移的最佳实践和注意事项，以及 AWS 数据库迁移工具（DMT）的使用方法。
		",AWS 云上数据库迁移
3课时							20分钟,中级,13355,"
			本课程首先运行并解析第一个容器，然后介绍虚拟化和 Docker 的历史及云计算的基础知识。
		",Docker 基础知识
3课时							36分钟,初级,3781,"
			本课程讲解 OSG 中的人机交互，课程从 OpenGL 成像流程入手，循循渐进的方式对每一步的转换做深入的解释说明，然后在引入 OSG 中具体的实现。知道了整个的流程，再学习场景漫游交互和对象拾取更容易理解了。
		",OSG人机交互
3课时							51分钟,中级,3642,"
			本课程首先讲解利用 Arduino 来模拟鼠标键盘基本原理，然后通过对三个具体实例的讲解帮助学员掌握如何利用 Arduino 来模拟鼠标键盘操作。
		",Arduino 模拟鼠标键盘（二）
4课时							45分钟,初级,6950,"
			本课程主要讲解 Flume 的基础架构，然后会对 Flume 的三大组件（Source组件、Channel组件、Sink组件）以及 Flume 过滤器 ( Interceptors )、Flume Channel 选择器 ( Selectors )、Flume 序列化器 ( Serializers ) 进行详细的讲解。最后会讲解 Flume Sink 容错和负责均衡。
		",Flume 基础架构
3课时							50分钟,初级,4222,"
			本课程讲解一元线性回归的思想和原理，内容包括一元线性回归的术语和原理，以及对回归结果的检验，并通过实例演示一元线性回归的做法。
		",一元线性回归
